Year,Month,Mdate,Sensor_Name,Count,Rank
2009,December,16,Princes Bridge,20665,7.0
2009,December,16,Australia on Collins,19838,8.0
2009,December,16,State Library,16097,9.0
2009,December,16,Collins Place (South),14533,10.0
2009,December,17,Town Hall (West),36956,1.0
2009,December,17,Bourke Street Mall (South),36087,2.0
2009,December,17,Flinders Street Station Underpass,27085,3.0
2009,December,17,Flagstaff Station,27014,4.0
2009,December,17,Bourke Street Mall (North),26380,5.0
2009,December,17,Melbourne Central,22518,6.0
2009,December,17,Australia on Collins,21772,7.0
2009,December,17,Princes Bridge,19914,8.0
2009,December,17,Collins Place (South),15258,9.0
2009,December,17,Collins Place (North),13528,10.0
2009,December,18,Town Hall (West),47426,1.0
2009,December,18,Bourke Street Mall (South),42449,2.0
2009,December,18,Flinders Street Station Underpass,35279,3.0
2009,December,18,Bourke Street Mall (North),34417,4.0
2009,December,18,Melbourne Central,31787,5.0
2009,December,18,Princes Bridge,31587,6.0
2009,December,18,Australia on Collins,25147,7.0
2009,December,18,Flagstaff Station,24071,8.0
2009,December,18,State Library,18752,9.0
2009,December,18,Collins Place (South),14792,10.0
2009,December,19,Town Hall (West),39087,1.0
2009,December,19,Bourke Street Mall (South),33165,2.0
2009,December,19,Bourke Street Mall (North),27820,3.0
2009,December,19,Melbourne Central,26937,4.0
2009,December,19,Princes Bridge,22011,5.0
2009,December,19,Flinders Street Station Underpass,20593,6.0
2009,December,19,Australia on Collins,14799,7.0
2009,December,19,State Library,14187,8.0
2009,December,19,Sandridge Bridge,8323,9.0
2009,December,19,New Quay,7655,10.0
2009,December,20,Town Hall (West),34939,1.0
2009,December,20,Bourke Street Mall (South),30141,2.0
2009,December,20,Bourke Street Mall (North),24551,3.0
2009,December,20,Melbourne Central,22659,4.0
2009,December,20,Princes Bridge,21477,5.0
2009,December,20,Flinders Street Station Underpass,19664,6.0
2009,December,20,State Library,11819,7.0
2009,December,20,Waterfront City,11284,8.0
2009,December,20,Australia on Collins,11164,9.0
2009,December,20,Sandridge Bridge,8231,10.0
2009,December,21,Town Hall (West),43511,1.0
2009,December,21,Bourke Street Mall (South),41657,2.0
2009,December,21,Bourke Street Mall (North),33264,3.0
2009,December,21,Flinders Street Station Underpass,29023,4.0
2009,December,21,Melbourne Central,26658,5.0
2009,December,21,Princes Bridge,24907,6.0
2009,December,21,Australia on Collins,23026,7.0
2009,December,21,Flagstaff Station,21438,8.0
2009,December,21,State Library,16136,9.0
2009,December,21,Collins Place (South),14347,10.0
2009,December,22,Town Hall (West),43680,1.0
2009,December,22,Bourke Street Mall (South),42772,2.0
2009,December,22,Bourke Street Mall (North),32839,3.0
2009,December,22,Flinders Street Station Underpass,29306,4.0
2009,December,22,Melbourne Central,27061,5.0
2009,December,22,Australia on Collins,23083,6.0
2009,December,22,Princes Bridge,22721,7.0
2009,December,22,Flagstaff Station,21553,8.0
2009,December,22,State Library,16391,9.0
2009,December,22,Collins Place (South),13642,10.0
2009,December,23,Town Hall (West),43355,1.0
2009,December,23,Bourke Street Mall (South),40892,2.0
2009,December,23,Bourke Street Mall (North),33944,3.0
2009,December,23,Flinders Street Station Underpass,27620,4.0
2009,December,23,Melbourne Central,26801,5.0
2009,December,23,Princes Bridge,21562,6.0
2009,December,23,Australia on Collins,21473,7.0
2009,December,23,Flagstaff Station,18550,8.0
2009,December,23,State Library,14607,9.0
2009,December,23,Collins Place (South),12217,10.0
2009,December,24,Town Hall (West),37310,1.0
2009,December,24,Bourke Street Mall (South),35615,2.0
2009,December,24,Bourke Street Mall (North),29082,3.0
2009,December,24,Melbourne Central,23639,4.0
2009,December,24,Flinders Street Station Underpass,21314,5.0
2009,December,24,Australia on Collins,16926,6.0
2009,December,24,Princes Bridge,15717,7.0
2009,December,24,Flagstaff Station,13168,8.0
2009,December,24,State Library,12675,9.0
2009,December,24,Collins Place (South),8311,10.0
2009,December,25,Town Hall (West),18626,1.0
2009,December,25,Melbourne Central,16307,2.0
2009,December,25,Flinders Street Station Underpass,14219,3.0
2009,December,25,Princes Bridge,13606,4.0
2009,December,25,Bourke Street Mall (North),10689,5.0
2009,December,25,Sandridge Bridge,7635,6.0
2009,December,25,Bourke Street Mall (South),7041,7.0
2009,December,25,State Library,5182,8.0
2009,December,25,New Quay,4320,9.0
2009,December,25,Waterfront City,2927,10.0
2009,December,26,Bourke Street Mall (South),58315,1.0
2009,December,26,Town Hall (West),49058,2.0
2009,December,26,Bourke Street Mall (North),46999,3.0
2009,December,26,Melbourne Central,35509,4.0
2009,December,26,State Library,20000,5.0
2009,December,26,Flinders Street Station Underpass,19869,6.0
2009,December,26,Princes Bridge,17894,7.0
2009,December,26,Australia on Collins,16838,8.0
2009,December,26,Birrarung Marr,11486,9.0
2009,December,26,Sandridge Bridge,8962,10.0
2009,December,27,Town Hall (West),33399,1.0
2009,December,27,Bourke Street Mall (South),29402,2.0
2009,December,27,Bourke Street Mall (North),24638,3.0
2009,December,27,Melbourne Central,23396,4.0
2009,December,27,Princes Bridge,21878,5.0
